category,events,points,tname,tid,tc,tbc,tbd
A,14,236,CyclingHub,2635,f65000,00364a,ffffff
A,2,25,Innovation,975,000000,52ff33,000000
A,1,23,Team Poland,25,ffffff,ff1800,ff0000
A,3,21,BRT,4,ffffff,050505,ff8100
A,1,18,[DRAFT],1634,ffffff,e60d2e,000000
A,1,17,Vikings,90,c2c2c2,0073b7,ee6331
A,1,15,Team MUR,2951,000000,adff2f,000000
A,1,15,Team Type 1,168,ffffff,0073b7,ffffff
A,1,15,Dutch Racing,3751,121212,fc6719,121212
A,1,13,Race3R,791,000000,2bc3f4,ffffff
A,1,11,BZR cycling team,35,f3f300,111111,dd4b39
A,1,11,RuhrRiders,41,ff8700,000000,5cb0fc
A,1,11,Team Bergziegen,3486,ffffff,000000,ff0000
A,1,9,TeamNL,2281,ffffff,ffa500,ffa500
A,1,7,TMC,2598,ffffff,0073b7,ffffff
A,1,7,PSVZA,3752,ffffff,f78484,ffffff
A,1,3,PTz,1,ffffff,403d3a,e3680f
A,1,3,REVO,2672,fc00e3,000000,fc00e3
A,1,1,ROULEUR,2297,ffffff,0073b7,ffffff
B,4,89,Team X,2,f5f7f6,111111,00a65a
B,4,76,Radsport K&ouml;nig,3482,ffffff,0073b7,ffffff
B,6,72,VC10,2888,ffffff,ff0000,ffffff
B,3,55,BRT,4,ffffff,050505,ff8100
B,3,39,DBR,1986,ffffff,eb7b2a,ffffff
B,1,34,VS CYCLES,783,ffffff,0073b7,ffffff
B,2,33,Team Type 1,168,ffffff,0073b7,ffffff
B,1,29,Sz,32,f3f300,0073b7,f3f300
B,1,26,USMES,79,ffffff,0073b7,ffffff
B,1,26,HIK,719,ffffff,0073b7,ffffff
B,1,25,SLOVENIA,1963,ffffff,95c447,ffffff
B,1,23,Team Eko&iuml;,2886,ffffff,ff0000,0d0b0b
B,1,21,Beet-It,1983,000000,db1c1c,00ff94
B,2,18,CTWT,632,ffffff,0073b7,ffffff
B,1,18,MDCC,843,ffffff,0073b7,ffffff
B,1,17,Odal Sk,1804,ffffff,0073b7,ffffff
B,1,15,DIMB ,1650,ffffff,0073b7,ffffff
B,2,15,BZR cycling team,35,f3f300,111111,dd4b39
B,1,13,TeamNL,2281,ffffff,ffa500,ffa500
B,1,11,GGCC,1611,ffffff,0073b7,ffffff
B,1,9,Team Italy,588,dd4b39,ffffff,00a65a
