category,events,points,tname,tid,tc,tbc,tbd
A,11,155,BRT,4,ffffff,050505,ff8100
A,6,96,Vikings,90,c2c2c2,0073b7,ee6331
A,2,36,Team X,2,f5f7f6,111111,00a65a
A,1,31,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
A,1,26,Innovation,975,000000,52ff33,000000
A,1,25,Team Type 1,168,ffffff,0073b7,ffffff
A,2,24,Race3R,791,000000,2bc3f4,ffffff
A,2,24,FUSION ECT,2854,ffffff,000000,ffffff
A,1,21,ZHR,1979,ff0000,03228c,03228c
A,1,19,TFC,10,111111,f3f300,111111
A,2,18,VS CYCLES,783,ffffff,0073b7,ffffff
A,2,16,FinishStrong,1740,ffffff,0073b7,ffffff
A,1,15,TrisportWAY,987,ffffff,0073b7,ffffff
A,2,14,KirchmairCycling,2991,210606,f2e80d,000103
A,1,13,VelociT,1071,ffffff,0073b7,ffffff
A,1,13,Sz,32,f3f300,0073b7,f3f300
A,1,11,GGCC,1611,ffffff,0073b7,ffffff
A,1,9,RCC,265,fc2097,d2d6de,111111
A,1,6,SWOZR,2971,ffffff,0073b7,ffffff
A,1,5,Team +1S,1414,fff500,ff00d6,00ffb2
A,1,2,Palmares,1167,ffffff,0073b7,ffffff
B,2,56,PTz,1,ffffff,403d3a,e3680f
B,7,56,BRT,4,ffffff,050505,ff8100
B,1,42,Vision,9,ffffff,2ea9e0,000000
B,2,41,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
B,1,37,Team Poland,25,ffffff,ff1800,ff0000
B,1,33,KISS RT,36,f56600,012350,84b7ca
B,1,29,VSR,3829,000000,b5f202,3b1c1c
B,1,26,CyclingHub,2635,f65000,00364a,ffffff
B,1,19,KirchmairCycling,2991,210606,f2e80d,000103
B,1,15,PulseTri,1968,000000,f5001d,000000
B,1,13,DBR,1986,ffffff,eb7b2a,ffffff
B,1,11,GSZ,3992,ffffff,0073b7,ffffff
B,1,11,BZR cycling team,35,f3f300,111111,dd4b39
B,1,10,ZSUN,161,ffffff,0073b7,ffffff
B,1,7,C100,3437,ffffff,0073b7,ffffff
B,1,6,TNC,3938,ffffff,0073b7,ffffff
B,1,5,ZHR,1979,ff0000,03228c,03228c
B,1,3,Ricambi Racing,2568,ffffff,b70000,0d7d33
B,1,1,BikePro,3315,ffffff,000000,ffffff
C,7,85,BRT,4,ffffff,050505,ff8100
C,3,30,Team Italy,588,dd4b39,ffffff,00a65a
C,1,18,DIRT,2707,29ec34,563c0f,df6a0d
C,1,11,Team ANDORRA,2618,0018a8,fff72c,d52b1e
C,1,9,Vikings,90,c2c2c2,0073b7,ee6331
C,1,7,AFM,3506,ffffff,0073b7,ffffff
C,1,5,DBR,1986,ffffff,eb7b2a,ffffff
C,1,5,TeamCZ,3492,ffffff,0073b7,ff0000
C,1,3,TugaZRT,2466,ffffff,ff1f00,33735b
D,1,10,BRT,4,ffffff,050505,ff8100
